epoch (ms),time (-07:00),elapsed (s),Light Level (lx)
1533078187249,2018-07-31T16:03:07.249,0.000,0.000
1533078188268,2018-07-31T16:03:08.268,1.019,36.441
1533078189258,2018-07-31T16:03:09.258,2.009,36.441
1533078190249,2018-07-31T16:03:10.249,3.000,32.162
1533078191269,2018-07-31T16:03:11.269,4.020,2.692
1533078192258,2018-07-31T16:03:12.258,5.009,11.618
1533078193250,2018-07-31T16:03:13.250,6.001,41.457
1533078194268,2018-07-31T16:03:14.268,7.019,43.781
1533078195259,2018-07-31T16:03:15.259,8.010,39.502
1533078196249,2018-07-31T16:03:16.249,9.000,45.736
1533078197267,2018-07-31T16:03:17.267,10.018,45.736
1533078198259,2018-07-31T16:03:18.259,11.010,45.736
1533078199249,2018-07-31T16:03:19.249,12.000,4.647
1533078200269,2018-07-31T16:03:20.269,13.020,2.692
1533078201258,2018-07-31T16:03:21.258,14.009,6.971
1533078202249,2018-07-31T16:03:22.249,15.000,5.016