epoch (ms),time (-07:00),elapsed (s),Temperature (Â°C)
1533078186231,2018-07-31T16:03:06.231,0.000,26.375
1533078187249,2018-07-31T16:03:07.249,1.018,26.500
1533078188238,2018-07-31T16:03:08.238,2.007,26.500
1533078189258,2018-07-31T16:03:09.258,3.027,26.375
1533078190248,2018-07-31T16:03:10.248,4.017,26.375
1533078191239,2018-07-31T16:03:11.239,5.008,26.375
1533078192258,2018-07-31T16:03:12.258,6.027,26.500
1533078193248,2018-07-31T16:03:13.248,7.017,26.250
1533078194240,2018-07-31T16:03:14.240,8.009,26.375
1533078195258,2018-07-31T16:03:15.258,9.027,26.375
1533078196247,2018-07-31T16:03:16.247,10.016,26.375
1533078197240,2018-07-31T16:03:17.240,11.009,26.500
1533078198258,2018-07-31T16:03:18.258,12.027,26.500
1533078199248,2018-07-31T16:03:19.248,13.017,26.875
1533078200269,2018-07-31T16:03:20.269,14.038,26.750
1533078201258,2018-07-31T16:03:21.258,15.027,26.625
1533078202249,2018-07-31T16:03:22.249,16.018,26.750